FechaAnalisis,NombreCooperativa,Ingresos,InteresesDescuentosGanados,InteresesCausados,MARGEN_NETO_DE_INTERESES,ComisionesGanadas,IngresosServicios,ComisionesCausadas,UtilidadesFinancieras,PerdidasFinancieras,MARGEN_BRUTO_FINANCIERO,Provisiones,MARGEN_NETO_FINANCIERO,GastosOperacion,MARGEN_DE_INTERMEDIACION,OtrosIngresosOperacionales,OtrasPerdidasOperacionales,MARGEN_OPERACIONAL,OtrosIngresos,OtrosGastosPerdidas,GANANCIA_ANTES_DE_IMPUESTOS,ImpuestosparticipacionEmpleados,GANANCIA_O_PERDIDA_DEL_EJERCICIO,Liquidez,ROE,MoraSectorFinanciero,AreaCobertura,TOTAL_CARTERA_IMPRODUCTIVA30,TOTAL_CARTERA_BRUTA30,PROVISIONES30,TOTAL_CARTERA_NETA30,TOTAL_CARTERA_POR_VENCER30,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES30,TOTAL_CARTERA_VENCIDA30,TOTAL_CARTERA_IMPRODUCTIVA60,TOTAL_CARTERA_BRUTA60,PROVISIONES60,TOTAL_CARTERA_NETA60,TOTAL_CARTERA_POR_VENCER60,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES60,TOTAL_CARTERA_VENCIDA60,TOTAL_CARTERA_IMPRODUCTIVA90,TOTAL_CARTERA_BRUTA90,PROVISIONES90,TOTAL_CARTERA_NETA90,TOTAL_CARTERA_POR_VENCER90,TOTAL_CARTERA_QUE_NO_DEVENGA_INTERES90,TOTAL_CARTERA_VENCIDA90,Ypredecido,Score
2020-03-31,CAMARA DE COMERCIO DE AMBATO,4555301.55,4051844.91,2400433.07,1651411.84,41863.13,11702.74,0.0,40348.91,79279.36,1666047.26,30000.0,1636047.26,1595791.56,40255.7,19719.35,392.36,59582.69,389822.51,280356.85,169048.35,0.0,169048.35,19.0,4.0,6.0,44.0,5255649.08,114429812.28,-3191283.38,111238528.9,109174163.2,4418769.16,836879.92,4941833.14,115333261.76,-3169939.7,112163322.06,110391428.62,4118419.08,823414.06,7230263.31,116338583.5,-3590765.8,112747817.7,109108320.19,5894498.97,1335764.34,0.9450944,54.905594
2020-03-31,CHIBULEO,6628259.9,6304618.76,3232143.63,3072475.13,0.0,59402.72,2288.31,0.0,0.0,3129589.54,464160.23,2665429.31,2245814.56,419614.75,78690.39,0.0,498305.14,185548.03,23360.62,660492.55,239339.68,421152.87,27.0,8.0,4.0,141.0,4267574.83,148700144.01,-5963829.49,142736314.52,144432569.18,2149614.95,2117959.88,3669845.77,147437263.04,-5713829.49,141723433.55,143767417.27,1523012.7,2146833.07,3883860.73,146443956.64,-5713829.51,140730127.13,142560095.91,1706645.78,2177214.95,0.871972,128.02797
2020-03-31,COOPROGRESO,20327978.29,18302303.74,9943035.02,8359268.72,431.04,365717.85,1583.77,390688.07,532111.0,8582410.91,2495511.87,6086899.04,5823420.99,263478.05,769094.17,2712.89,1029859.33,499743.42,196954.89,1332647.86,481918.67,850729.19,29.0,6.0,4.0,197.86,14185973.77,406940827.05,-19840448.25,387100378.8,392754853.28,8971804.11,5213245.73,13816963.54,404559896.68,-19506455.14,385053441.54,390742933.14,8700565.55,5114894.99,14551527.07,402388976.14,-19370321.28,383018654.86,387837449.07,9488626.64,5061891.57,0.8215926,178.40736
2020-03-31,DE LA PEQUEÑA EMPRESA BIBLIAN,8615109.83,8132423.39,4288806.37,3843617.02,6157.88,104221.59,0.0,78976.39,0.0,4032972.88,1424092.06,2608880.82,2027774.95,581105.87,1.76,0.0,581107.63,293328.82,42181.24,832255.21,316001.7,516253.51,23.0,5.0,10.0,54.6,10042085.96,216389067.29,-11852016.05,204537051.24,206346981.33,5071538.47,4970547.49,8459797.93,214850718.18,-11610129.99,203240588.19,206390920.25,3245665.68,5214132.25,9948979.5,213672620.99,-11539033.05,202133587.94,203723641.49,5000516.72,4948462.78,0.6648007,335.1993
2020-03-31,DE LA PEQUEÑA EMPRESA DE COTOPAXI,13727185.13,12527054.16,5398357.99,7128696.17,34.24,70640.61,2016.0,22225.75,56663.27,7162917.5,2854606.92,4308310.58,2670893.21,1637417.37,74593.97,83614.74,1628396.6,1032636.4,36860.31,2624172.69,951262.6,1672910.09,25.0,9.0,7.0,68.5,8966585.63,266575591.67,-15850958.46,250724633.21,257609006.04,5554030.45,3412555.18,7976826.94,266630039.77,-15685906.11,250944133.66,258653212.83,4668166.06,3308660.88,9369522.97,265149661.76,-15175520.81,249974140.95,255780138.79,6113239.05,3256283.92,0.40996072,590.03925
2020-03-31,DE LA PEQUEÑA EMPRESA DE PASTAZA,5592534.03,5462376.7,2133104.31,3329272.39,18024.83,16582.52,0.0,10146.42,0.0,3374026.16,641920.11,2732106.05,1877314.38,854791.67,0.0,0.0,854791.67,85403.56,5983.42,934211.81,338651.8,595560.01,32.0,8.0,4.0,78.6,2418075.84,129001257.88,-3354431.05,125646826.83,126583182.04,1434897.25,983178.59,2293285.04,127160933.09,-3293672.68,123867260.41,124867648.05,1370325.71,922959.33,2285030.46,126043431.95,-3171342.68,122872089.27,123758401.49,1340806.12,944224.34,0.78753,212.47
2020-03-31,DE LOS SERVIDORES PUBLICOS DEL MINISTERIO DE EDUCACION Y CULTURA,4560010.82,4460625.31,1362525.73,3098099.58,0.0,8123.44,2053.43,10949.73,0.0,3115119.32,1526933.07,1588186.25,1511603.99,76582.26,12059.87,0.0,88642.13,68252.47,6778.01,150116.59,55595.72,94520.87,31.0,1.0,3.0,150.0,2678131.52,152580950.44,-5600104.94,146980845.5,149902818.92,2011270.51,666861.01,2643088.94,152867337.5,-5574276.09,147293061.41,150224248.56,1994352.24,648736.7,3740835.63,152966097.8,-6067080.2,146899017.6,149225262.17,3000870.36,739965.27,0.9097979,90.202095
2020-03-31,EL SAGRARIO,6995282.63,6276937.21,3133213.57,3143723.64,0.0,248747.79,0.0,4303.06,0.0,3396774.49,757116.12,2639658.37,1817907.76,821750.61,14260.06,12892.98,823117.69,451034.51,89088.3,1185063.9,446910.3,738153.6,23.0,8.0,4.0,92.83,2802807.97,133363011.06,-4811747.45,128551263.61,130560203.09,1530092.09,1272715.88,2759072.51,132349227.04,-4701488.97,127647738.07,129590154.53,1495246.85,1263825.66,3061143.32,131981245.55,-4695016.17,127286229.38,128920102.23,1787173.01,1273970.31,0.63171744,368.28256
2020-03-31,ERCO,5346764.63,4331673.12,1833300.9,2498372.22,19629.42,93410.9,0.0,6620.79,7619.76,2610413.57,1382212.86,1228200.71,1597160.16,-368959.45,2687.44,311784.14,-678056.15,892742.96,84813.33,129873.48,47079.13,82794.35,20.0,2.0,5.0,102.5,2966030.79,98782824.02,-5171693.02,93611131.0,95816793.23,2123542.53,842488.26,2522209.96,97325212.18,-5029483.74,92295728.44,94803002.22,1694724.69,827485.27,2950279.08,95520411.05,-5015785.42,90504625.63,92570131.97,2109994.84,840284.24,0.55255693,447.44305
2020-03-31,FERNANDO DAQUILEMA,8466226.9,7890973.5,3407494.17,4483479.33,0.0,50529.44,0.0,0.0,0.0,4534008.77,1482420.27,3051588.5,3144011.69,-92423.19,18661.74,53.75,-73815.2,506062.22,67269.42,364977.6,132304.38,232673.22,33.0,4.0,4.0,141.0,4428030.16,161956020.91,-6323218.51,155632802.4,157527990.75,2135497.16,2292533.0,3751603.55,159658516.61,-6177154.39,153481362.22,155906913.06,1834448.62,1917154.93,4133617.85,161692045.18,-6260523.03,155431522.15,157558427.33,2141767.31,1991850.54,0.90317625,96.82375
